Text,Label
You've won a prize! Contact us now!,1
Your meeting is scheduled for tomorrow.,0
Update your account details immediately!,1
Can you call me back later?,0
Free cash prize for the first 100 callers!,1
Letâ€™s catch up tomorrow morning.,0
Thank you for visiting our store. We hope to see you again soon.,0
Congratulations! You've been selected for a $8464 prize. Respond now!,1
Reminder: Your water bill is due tomorrow.,0
You have won a lottery worth $8100! Call us now to claim your prize.,1
You've won a prize! Contact us now!,1
Your meeting is scheduled for tomorrow.,0
Your account has been locked; update your details now.,1
"hey,hope that your doing well",0
Remainder: Your water bill is due tomorrow.,0
tell me the otp sent on your mobile number,1
